,Pulse,Op.Cam,Time,Exp.Cam,Comments
138,99670,KLDT-O5WB,70.53454,KLDT-E5WD,Cloud of UFOs for 1 frame at end of pulse. More vissible on KLDT-E5WD at the same time and prior.
139,99657,KLDT-O5WB,42.87095,KLDT-E5WC,Debris in the divertor( probably from the last pulse) caused MARFing behaviour of the plasma. Also visible in KLDTP5WB
140,99657,KLDT-O5WB,42.87095,KLDT-E5WD,Debris in the divertor( probably from the last pulse) caused MARFing behaviour of the plasma. Also visible in KLDTP5WB
141,99657,KLDT-O5WB,42.87095,KLDT-E5WE,Debris in the divertor( probably from the last pulse) caused MARFing behaviour of the plasma. Also visible in KLDTP5WB
142,99643,KLDT-O5WB,48.12607,KLDT-E5WC,Frame 252-257
143,99643,KLDT-O5WB,48.12607,KLDT-E5WD,Frame 252-257
144,99643,KLDT-O5WB,48.12607,KLDT-E5WE,Frame 252-257
145,99640,KLDT-O5WB,46.2,KLDT-E5WC,Frames: 208-211
146,99640,KLDT-O5WB,46.2,KLDT-E5WD,Frames: 208-211
147,99640,KLDT-O5WB,46.2,KLDT-E5WE,Frames: 208-211
148,99630,KLDT-O5WB,52.31259,KLDT-E5WC,Several UFOs in divertor
149,99630,KLDT-O5WB,52.31259,KLDT-E5WD,Several UFOs in divertor
150,99630,KLDT-O5WB,52.31259,KLDT-E5WE,Several UFOs in divertor
151,99627,KLDT-O5WB,42.26268,KLDT-E5WC,Several UFOs in divertor. UFOs visible in divertor on KLDT-E5WD throughout pulse.
152,99627,KLDT-O5WB,42.26268,KLDT-E5WD,Several UFOs in divertor. UFOs visible in divertor on KLDT-E5WD throughout pulse.
153,99627,KLDT-O5WB,42.26268,KLDT-E5WE,Several UFOs in divertor. UFOs visible in divertor on KLDT-E5WD throughout pulse.
154,99627,KLDT-O5WB,48.24435,KLDT-E5WC,UFO near REION. Visible on fast camera.
155,99627,KLDT-O5WB,48.24435,KLDT-E5WD,UFO near REION. Visible on fast camera.
156,99627,KLDT-O5WB,48.24435,KLDT-E5WE,UFO near REION. Visible on fast camera.
157,99627,KLDT-O5WB,47.08004,KLDT-E5WC,UFO near upper outer sausages. Not clearly visible on other cameras.
158,99627,KLDT-O5WB,47.08004,KLDT-E5WD,UFO near upper outer sausages. Not clearly visible on other cameras.
159,99627,KLDT-O5WB,47.08004,KLDT-E5WE,UFO near upper outer sausages. Not clearly visible on other cameras.
160,99616,KLDT-O5WB,40.64799,KLDT-E5WC,Just below the UDP
161,99616,KLDT-O5WB,40.64799,KLDT-E5WD,Just below the UDP
162,99616,KLDT-O5WB,40.64799,KLDT-E5WE,Just below the UDP
163,99608,KLDT-O5WB,40.30548,KLDT-E5WC,"Some UFOs begin to be seen during breakdown in main chamber, on the WOPL and on the divertor during X-point formation at 42.192s (blue light)"
164,99608,KLDT-O5WB,40.30548,KLDT-E5WD,"Some UFOs begin to be seen during breakdown in main chamber, on the WOPL and on the divertor during X-point formation at 42.192s (blue light)"
165,99608,KLDT-O5WB,40.30548,KLDT-E5WE,"Some UFOs begin to be seen during breakdown in main chamber, on the WOPL and on the divertor during X-point formation at 42.192s (blue light)"
166,99544,KLDT-O5WB,50.21376,KLDT-E5WC,"Lots of them, also in KLDT- E5WE@50.1417s"
167,99544,KLDT-O5WB,50.21376,KLDT-E5WD,"Lots of them, also in KLDT- E5WE@50.1417s"
168,99544,KLDT-O5WB,50.21376,KLDT-E5WE,"Lots of them, also in KLDT- E5WE@50.1417s"
169,99542,KLDT-O5WB,52.19077,KLDT-E5WC,At the inner wall
170,99542,KLDT-O5WB,52.19077,KLDT-E5WD,At the inner wall
171,99542,KLDT-O5WB,52.19077,KLDT-E5WE,At the inner wall
172,99542,KLDT-O5WB,52.27109,KLDT-E5WC,At the inner wall
173,99542,KLDT-O5WB,52.27109,KLDT-E5WD,At the inner wall
174,99542,KLDT-O5WB,52.27109,KLDT-E5WE,At the inner wall
175,99542,KLDT-O5WB,41.7927,KLDT-E5WC,At the divertor
176,99542,KLDT-O5WB,41.7927,KLDT-E5WD,At the divertor
