,Unnamed: 0,Pulse,Op.Cam,Time,Exp.Cam,Disruption,Comments
95,95,96289,KLDT-O5WB,46.83605,KLDT-E5WE,0.0,Green UFO lasting one frame. Berillium maybe?
96,96,96234,KLDT-O5WB,55.31827,KLDT-E5WE,56.535,Bright spot at top of machine.
97,97,96234,KLDT-O5WB,54.437490000000004,KLDT-E5WE,56.535,"Bright UFO from outer wall on Ops cam only. See also 54.83782s, 55.03806s"
98,98,96229,KLDT-O5WB,43.46468,KLDT-E5WE,0.0,Big cloud of UFOs on Ops cam
99,99,96225,KLDT-O5WB,43.016000000000005,KLDT-E5WE,0.0,Lots of UFOs at the end of the pulse. Lots of UFOS also seen on KLDT-E5WD.
100,100,96098,KLDT-O5WB,44.55,KLDT-E5WE,0.0,Small UFO at the bottom of Limiter 4B limiter. It does not seem to be Titanium.
101,101,96067,KLDT-O5WB,49.96967,KLDT-E5WE,50.986,Ti from pickup coil near UDPT
102,102,96045,KLDT-O5WB,44.21642,KLDT-E5WE,50.718,UFO falling from ceiling
103,103,96040,KLDT-O5WB,50.21958,KLDT-E5WE,50.846,UFO drops from ceiling. (2 frames)
104,104,96040,KLDT-O5WB,49.25874,KLDT-E5WE,50.846,UFO drops from ceiling. (1 frame)
105,105,96040,KLDT-O5WB,47.6575,KLDT-E5WE,50.846,UFO drops from ceiling. (2 frames)
106,106,96040,KLDT-O5WB,42.93349,KLDT-E5WE,50.846,UFO at midplane near WOPL (4 frames)
107,107,96039,KLDT-O5WB,50.98818,KLDT-E5WE,51.898,Various single frame UFOs. This one lasts a few frames
108,108,96039,KLDT-O5WB,48.826570000000004,KLDT-E5WE,51.898,Something falling from ceiling near lower hybrid
109,109,96021,KLDT-O5WB,49.06431,KLDT-E5WE,0.0,"A red UFO falls from the roof, ending in a white flash."
110,110,96017,KLDT-O5WB,49.98018,KLDT-E5WE,53.244,Flash mostly on one frame at top of machine. Visible on KLDT-O5WB at 49.946
111,111,96017,KLDT-O5WB,49.385940000000005,KLDT-E5WE,53.244,Numerous flashes visible on Ops cam over a long period.
112,112,96012,KLDT-O5WB,48.4448,KLDT-E5WE,57.265,Bright flash - also visible on BeII filter.
113,113,95945,KLDT-O5WB,52.77,KLDT-E5WE,0.0,Frame: 369. They can be seen near on the WOPL
